,city,job_title,company_name,location,description,salaryCountType,salaryAmount
0,Sydney,Research Scientist - Machine Learning,CSIRO,Sydney NSW,"['All', 'vacancies', 'Aboriginal', 'and', 'Torres', 'Strait', 'Islander', 'roles', 'General', 'managers', 'Postdoctoral', 'research', 'fellows', 'Professional', 'and', 'administrative', 'support', 'Research', 'managers', 'Research', 'scientists', 'and', 'engineers', 'Scientific', 'and', 'technical', 'support', 'Working', 'at', 'CSIRO', 'Job', 'Alerts', 'Log', 'on', 'Start', 'apply', 'with', 'LinkedIn', 'Apply', 'Now', 'Please', 'wait', 'Design', 'and', 'develop', 'new', 'algorithms', 'for', 'protecting', 'data', 'and', 'learning', 'Solve', 'realworld', 'distributed', 'machine', 'learning', 'problems', 'Join', 'a', 'diverse', 'and', 'agile', 'team', 'focused', 'on', 'confidential', 'computing', 'Research', 'design', 'and', 'develop', 'new', 'algorithms', 'for', 'protecting', 'data', 'and', 'learning', 'from', 'protected', 'data', 'in', 'distributed', 'environments', 'Produce', 'high', 'quality', 'scientific', 'andor', 'engineering', 'artefacts', 'eg', 'papers', 'patents', 'code', 'and', 'demos', 'suitable', 'for', 'publication', 'in', 'leadingxa0national', 'and', 'international', 'venues', 'Build', 'elegant', 'efficient', 'and', 'readable', 'code', 'Advise', 'policy', 'makers', 'and', 'inform', 'and', 'transfer', 'knowledge', 'to', 'nonscientific', 'audiences', 'Introduce', 'new', 'directions', 'and', 'approaches', 'solving', 'complex', 'problems', 'using', 'own', 'professional', 'expertise', 'and', 'knowledge', 'of', 'other', 'disciplines', 'and', 'research', 'areas', 'Lead', 'small', 'research', 'projects', 'and', 'assist', 'with', 'elements', 'of', 'larger', 'projects', 'including', 'the', 'negotiation', 'of', 'resource', 'requirements', 'Experience', 'in', 'one', 'or', 'more', 'of', 'the', 'following', 'machine', 'learning', 'statistical', 'learning', 'distributed', 'learning', 'cryptography', 'differential', 'privacy', 'Experience', 'solving', 'problems', 'using', 'quantitative', 'approaches', 'on', 'realworld', 'data', 'Experience', 'with', 'or', 'proven', 'track', 'record', 'of', 'implementing', 'machine', 'learning', 'algorithms', 'A', 'record', 'of', 'quality', 'publications', 'in', 'peer', 'reviewed', 'journals', 'or', 'conferences', 'Ability', 'to', 'think', 'creatively', 'to', 'work', 'collaboratively', 'and', 'to', 'perform', 'tasks', 'under', 'minimal', 'supervision', 'Ability', 'willingness', 'to', 'incorporate', 'novel', 'ideas', 'and', 'approaches', 'into', 'scientific', 'investigations', 'Experience', 'collaborating', 'and', 'engaging', 'with', 'industry', 'with', 'the', 'ability', 'to', 'deliver', 'projects', 'to', 'clients', 'A', 'record', 'of', 'quality', 'publications', 'as', 'primary', 'author', 'in', 'high', 'impact', 'peer', 'reviewed', 'journals', 'or', 'conferences', 'A', 'record', 'of', 'science', 'innovation', 'and', 'creativity', 'plus', 'the', 'ability', 'to', 'apply', 'well', 'developed', 'research', 'skills', 'to', 'scientific', 'investigations', 'Start', 'apply', 'with', 'LinkedIn', 'Apply', 'Now', 'Please', 'wait', 'Start', 'Your', 'Application', 'Receive', 'Email', 'Updates', 'Join', 'our', 'Talent', 'Community', 'Freedom', 'of', 'Information', 'FOI', 'Disclosure', 'Log', 'Information', 'Publication', 'Scheme', 'Public', 'Interest', 'Disclosure', 'Scheme', 'CSIRO', 'blogs', 'Legal', 'Notice', 'and', 'Disclaimer', 'Your', 'Privacy', 'View', 'All', 'Jobs', 'Contact', 'Us']",year,111500.0
1,Sydney,Data Scientist,BI & DW,Sydney NSW,"['A', 'mathematics', 'statistics', 'or', 'econometrics', 'degree', 'SAS', 'SPSS', 'skills', 'are', 'appreciated', 'but', 'are', 'part', 'of', 'the', 'training', 'package', 'SQL', 'skills', 'are', 'good', 'to', 'have', 'Hadoop', 'or', 'any', 'of', 'the', 'other', 'associated', 'software', 'from', 'this', 'ecosystem', 'is', 'also', 'beneficial', 'Business', 'Intelligence', 'skills', 'are', 'advantageous']",year,85000.0
2,Sydney,Data Scientist,Morgan McKinley,Sydney Central Business District NSW,"['Australia', 'Search', 'Data', 'Scientist', 'Manipulate', 'huge', 'data', 'sets', 'and', 'analyse', 'results', 'using', 'statistical', 'techniques', 'Develop', 'statistical', 'models', 'to', 'gain', 'insights', 'and', 'provide', 'information', 'around', 'trends', 'and', 'patterns', 'Present', 'key', 'findings', 'to', 'the', 'head', 'of', 'advertising', 'and', 'senior', 'financial', 'stakeholders', 'Tertiary', 'qualification', 'in', 'a', 'Quantitative', 'discipline', 'Economics', 'Statistics', 'Mathematics', 'Strong', 'working', 'knowledge', 'SQL', 'and', 'cloud', 'environments', 'AWSAzure', 'Statistical', 'programming', 'experience', 'in', 'PythonR', 'Familiarity', 'with', 'Hadoop', 'is', 'a', 'bonus', 'Apply', 'for', 'this', 'job']",year,130000.0
3,Sydney,Data Analyst/Jr. Data Scientist - Perm - Sydney,Infopeople,Sydney NSW,"['Great', 'brand', 'name', 'to', 'be', 'associated', 'with', 'You', 'turn', 'data', 'into', 'actionable', 'insights', 'everyday', 'And', 'you', 'love', 'it', 'Your', 'communication', 'presentation', 'skills', 'are', 'impeccable', 'You', 'will', 'be', 'responsible', 'for', 'transforming', 'all', 'the', 'data', 'and', 'data', 'sets', 'available', 'into', 'meaningful', 'insights', 'A', 'lot', 'of', 'your', 'job', 'involves', 'data', 'collection', 'cleansing', 'analyzing', 'and', 'working', 'with', 'different', 'business', 'teams', 'for', 'the', 'same', 'The', 'reports', 'and', 'dashboards', 'you', 'build', 'will', 'help', 'the', 'business', 'in', 'taking', 'decisions', 'and', 'you', 'will', 'help', 'us', 'in', 'shaping', 'the', 'future', 'data', 'strategy', 'At', 'a', 'later', 'stage', 'you', 'would', 'be', 'getting', 'shaped', 'into', 'a', 'Data', 'Scientist', 'position', 'so', 'we', 'want', 'someonexa0with', 'an', 'ability', 'to', 'do', 'predictive', 'modeling', 'forecasting', 'build', 'statisticalmachine', 'learning', 'models', '23', 'years', 'of', 'relevant', 'experience', 'as', 'a', 'Data', 'Analyst', 'or', 'a', 'Junior', 'Data', 'Scientist', 'in', 'a', 'commercial', 'environment', 'You', 'love', 'crunching', 'numbers', 'and', 'enjoy', 'building', 'reports', 'and', 'dashboards', 'You', 'have', 'strong', 'proven', 'skills', 'in', 'SQL', 'SSRS', 'Power', 'BI', 'R', 'or', 'Python', 'Advanced', 'Excelxa0PowerPivot', 'You', 'have', 'experience', 'in', 'data', 'cleansing', 'data', 'extraction', 'and', 'manipulation', 'You', 'are', 'capable', 'of', 'data', 'visualization', 'as', 'well', 'as', 'presenting', 'your', 'findings', 'to', 'the', 'team', 'and', 'even', 'higher', 'management', 'We', 'want', 'someone', 'with', 'great', 'presentation', 'skills', 'Masters', 'degree', 'in', 'any', 'quantitative', 'or', 'engineering', 'discipline', 'or', 'equivalent', 'Commercial', 'experience', 'in', 'Industrial', 'Engineering', 'or', 'Construction', 'industry', 'as', 'a', 'Data', 'AnalystScientist', 'Experience', 'in', 'ERP', 'or', 'CRM', 'applications', 'Understanding', 'of', 'Project', 'management', 'lifecycle', 'Experience', 'of', 'working', 'with', 'Marketing', 'or', 'Sales', 'data']",year,105000.0
4,Sydney,"Data Scientist Sydney, Australia",Salt Recruitment,Sydney NSW,"['About', 'saltnnnWho', 'we', 'are', 'nnnMeet', 'the', 'AU', 'team', 'nnnMeet', 'the', 'NZ', 'team', 'nnnBlog', 'Who', 'we', 'are', 'Meet', 'the', 'AU', 'team', 'Meet', 'the', 'NZ', 'team', 'What', 'we', 'donnnOur', 'services', 'nnnFAQ', 'Our', 'services', 'Find', 'WorknnnCurrent', 'Jobs', 'Current', 'Jobs', 'Get', 'in', 'touchnnnContact', 'us', 'Contact', 'us']",year,102500.0
5,Sydney,"Data Scientist - Machine Learning - Validated start-up, Sydney",Just Digital People,Sydney NSW,"['Globally', 'expanding', 'business', 'FMCG', 'Domain', 'Heavily', 'funded', 'start', 'up', 'Knowledge', 'of', 'machine', 'learning', 'Set', 'strategic', 'vision', 'to', 'overcome', 'the', 'complexities', 'of', 'an', 'evolving', 'machine', 'learning', 'ecosystem', 'Research', 'and', 'implement', 'new', 'novel', 'machine', 'learning', 'algorithms', 'and', 'workflow', 'Degree', 'in', 'computer', 'science', 'statistics', 'or', 'a', 'quantitative', 'domain', '5', 'years', 'experience', 'delivering', 'scaling', 'and', 'owning', 'highly', 'successful', 'and', 'innovative', 'machine', 'learning', 'products', 'with', 'your', 'fingerprints', 'all', 'over', 'them', 'Demonstrable', 'proficiency', 'in', 'coding', 'Python', 'Spark', 'and', 'R', 'preferred', 'and', 'programming', 'concepts', 'combined', 'with', 'the', 'enthusiasm', 'and', 'passion', 'to', 'build', 'Employee', 'share', 'scheme', 'First', 'Data', 'Scientist', 'hire', 'Have', 'a', 'say', 'in', 'new', 'products', 'Great', 'tech', 'stack', 'fast', 'paced', 'start', 'up', 'environment']",year,130000.0
6,Sydney,Data Scientist - Top ASX company,Morgan McKinley,Sydney Central Business District NSW,"['Australia', 'Search', 'Data', 'Scientist', 'Top', 'ASX', 'company', 'Work', 'within', 'a', 'forward', 'thinking', 'team', 'to', 'extract', 'data', 'from', 'internal', 'databases', 'and', 'warehouses', 'Produce', 'and', 'deliver', 'predictive', 'models', 'by', 'optimising', 'the', 'use', 'of', 'different', 'tool', 'sets', 'and', 'models', 'Segment', 'customers', 'based', 'on', 'certain', 'attributesbehaviour', 'Make', 'use', 'of', 'project', 'management', 'resources', 'such', 'as', 'time', 'recording', 'systems', 'Create', 'presentations', 'that', 'will', 'deliver', 'insight', 'to', 'the', 'rest', 'of', 'the', 'team', 'and', 'the', 'end', 'client', 'Engage', 'with', 'key', 'stakeholders', 'to', 'ensure', 'they', 'have', 'a', 'clear', 'vision', 'of', 'what', 'the', 'created', 'model', 'will', 'do', 'for', 'them', 'and', 'what', 'decisions', 'they', 'need', 'to', 'make', 'as', 'a', 'result', 'of', 'the', 'model', 'Possess', 'strong', 'statistical', 'modelling', 'skills', 'and', 'be', 'able', 'to', 'synthesise', 'big', 'data', 'Have', 'a', 'minimum', 'of', '3', 'years', 'experience', 'using', 'HadoopSparkRPython', 'Desire', 'to', 'enhance', 'preexisting', 'skills', 'in', 'areas', 'such', 'as', 'machine', 'learning', 'and', 'quantitative', 'decision', 'making', 'Be', 'a', 'strong', 'and', 'confident', 'communicator', 'who', 'can', 'simplify', 'complex', 'models', 'to', 'stakeholders', 'Have', 'motivation', 'to', 'continually', 'learn', 'new', 'skills', 'both', 'for', 'personal', 'advantage', 'and', 'to', 'add', 'value', 'to', 'the', 'company', 'Work', 'collaboratively', 'and', 'efficiently', 'in', 'a', 'tightknit', 'team', 'Highly', 'competitive', 'remuneration', 'Opportunities', 'to', 'engage', 'in', 'further', 'learning', 'and', 'career', 'planning', 'tools', 'Flexible', 'working', 'spaces', 'Paid', 'volunteer', 'leave', 'and', 'secondments', 'for', 'community', 'work', 'Apply', 'for', 'this', 'job']",year,110000.0
7,Sydney,Customer Data Scientist - Insights & Analytics,Correlate Resources,Sydney NSW,"['CUSTOMERMARKETING', 'ANALYTICS', 'SPECIALIST', 'Strategic', 'focused', 'Melbourne', 'based', 'role', 'INDUSTRY', 'PIONEERING', 'FINTECH', 'business', 'with', 'cutting', 'edge', 'technical', 'environment', 'SENIOR', 'ANALYST', 'POSITION', 'with', 'genuine', 'progression', 'pathways', 'to', 'senior', 'management', 'Present', 'the', 'results', 'of', 'your', 'investigations', 'to', 'senior', 'stakeholders', 'across', 'the', 'business', 'gaining', 'strategic', 'business', 'buyin', 'to', 'ensure', 'your', 'recommendations', 'are', 'rolled', 'out', 'into', 'operation', 'At', 'least', 'four', 'years', 'experience', 'working', 'in', 'a', 'commercial', 'environment', 'with', 'large', 'volumes', 'of', 'data', 'focusing', 'on', 'extracting', 'key', 'insights', 'that', 'will', 'drive', 'customermarketing', 'strategy', 'Technical', 'proficiency', 'with', 'tools', 'that', 'may', 'include', 'SQL', 'R', 'Python', 'SAS', 'Tableau', 'Qlikview', 'PowerBI', 'Excel', 'etc', 'Educated', 'to', 'a', 'minimum', 'of', 'degree', 'level', 'in', 'a', 'highly', 'analytical', 'discipline', 'such', 'as', 'Mathematics', 'Statistics', 'Econometrics', 'Actuarial', 'Studies', 'Data', 'Science', 'Computer', 'Sciencexa0etc']",year,130000.0
8,Sydney,Research Scientist - Theoretical Physicist,CSIRO,Sydney NSW,"['All', 'vacancies', 'Aboriginal', 'and', 'Torres', 'Strait', 'Islander', 'roles', 'General', 'managers', 'Postdoctoral', 'research', 'fellows', 'Professional', 'and', 'administrative', 'support', 'Research', 'managers', 'Research', 'scientists', 'and', 'engineers', 'Scientific', 'and', 'technical', 'support', 'Working', 'at', 'CSIRO', 'Job', 'Alerts', 'Log', 'on', 'Start', 'apply', 'with', 'LinkedIn', 'Apply', 'Now', 'Please', 'wait', 'Are', 'you', 'a', 'researcherxa0keen', 'to', 'work', 'in', 'the', 'area', 'of', 'superconductivityapplied', 'physicsindustrial', 'innovation', 'Are', 'you', 'highly', 'skilled', 'team', 'player', 'who', 'is', 'interested', 'in', 'applying', 'your', 'knowledge', 'to', 'real', 'world', 'problems', 'and', 'applications', 'Joinxa0a', 'high', 'performing', 'team', 'of', 'multidisciplinary', 'scientists', 'in', 'thexa0Superconductivity', 'team', 'Incorporating', 'novel', 'approaches', 'to', 'scientific', 'investigations', 'by', 'adapting', 'andor', 'developing', 'original', 'concepts', 'and', 'ideas', 'for', 'new', 'existing', 'and', 'further', 'research', 'Developing', 'theoretical', 'models', 'to', 'describe', 'our', 'HTS', 'junction', 'arrays', 'by', 'incorporating', 'HTS', 'parameters', 'Developing', 'theoretical', 'models', 'in', 'order', 'to', 'optimize', 'the', 'array', 'design', 'and', 'improve', 'their', 'magnetic', 'field', 'sensitivity', 'Performing', 'cryogenic', 'electrical', 'transport', 'measurements', 'DC', 'RF', 'of', 'superconducting', 'arrays', 'Developing', 'data', 'fitting', 'procedures', 'to', 'analyse', 'array', 'data', 'where', 'needed', 'and', 'use', 'this', 'to', 'inform', 'future', 'array', 'designs', 'A', 'doctorate', 'andor', 'equivalent', 'research', 'experience', 'in', 'a', 'theoretical', 'physics', 'in', 'particular', 'superconductivity', 'condensed', 'matter', 'physics', 'andor', 'low', 'temperature', 'physics', 'A', 'sound', 'knowledge', 'of', 'theoretical', 'physics', 'especially', 'superconductivity', 'and', 'condensed', 'matter', 'physics', 'Demonstrated', 'theoretical', 'physicsmathematical', 'modelling', 'capabilities', 'High', 'quality', 'scientific', 'communications', 'skills', 'demonstrated', 'by', 'publications', 'in', 'high', 'quality', 'journals', 'Demonstrated', 'cryogenic', 'experimental', 'measurements', 'skills', 'High', 'level', 'interest', 'in', 'applying', 'the', 'models', 'and', 'equations', 'to', 'solving', 'real', 'world', 'problems', 'and', 'helping', 'improve', 'the', 'sensor', 'performance', 'in', 'a', 'range', 'of', 'applications', 'Start', 'apply', 'with', 'LinkedIn', 'Apply', 'Now', 'Please', 'wait', 'Start', 'Your', 'Application', 'Receive', 'Email', 'Updates', 'Join', 'our', 'Talent', 'Community', 'Freedom', 'of', 'Information', 'FOI', 'Disclosure', 'Log', 'Information', 'Publication', 'Scheme', 'Public', 'Interest', 'Disclosure', 'Scheme', 'CSIRO', 'blogs', 'Legal', 'Notice', 'and', 'Disclaimer', 'Your', 'Privacy', 'View', 'All', 'Jobs', 'Contact', 'Us']",year,99000.0
9,Sydney,"Principal Consultant, Artificial Intelligence and Data Science",eWave,Sydney NSW,"['Leading', 'teams', 'on', 'various', 'AI', 'machine', 'learning', 'and', 'cognitive', 'computing', 'projects', 'building', 'algorithms', 'into', 'software', 'and', 'conducting', 'experiments', 'Managing', 'development', 'of', 'the', 'Analytics', 'practice', 'by', 'designing', 'and', 'implementing', 'new', 'business', 'processes', 'and', 'strategies', 'Leading', 'guide', 'workshops', 'design', 'sprints', 'to', 'identify', 'breakthrough', 'ideas', 'or', 'concepts', 'that', 'transform', 'the', 'ideas', 'into', 'real', 'world', 'applications', 'Liaising', 'with', 'senior', 'stakeholders', 'explaining', 'how', 'new', 'technologies', 'can', 'impact', 'daily', 'life', 'Building', 'client', 'relationships', 'and', 'your', 'network', 'across', 'the', 'practice', 'Hiring', 'Mentoring', 'and', 'Leading', 'a', 'team', 'of', 'up', 'and', 'coming', 'data', 'scientists', 'data', 'engineers', 'and', 'developers', 'Academic', 'qualifications', 'in', 'Mathematics', 'Computer', 'Science', 'Engineering', 'Artificial', 'Intelligence', 'or', 'a', 'related', 'discipline', '4', 'years', 'of', 'experience', 'in', 'Analytics', 'AI', 'project', 'delivery', 'or', 'product', 'management', 'including', 'Statistical', 'Modelling', 'Data', 'Science', 'Unstructured', 'Data', 'Analytics', 'and', 'Machine', 'Learning', 'Experience', 'across', 'some', 'of', 'the', 'following', 'disciplines', 'NLP', 'cognitive', 'computing', 'deep', 'learning', 'artificial', 'intelligence', 'Video', 'Image', 'Analytics', 'Speech', 'Analytics', 'Proficiency', 'in', 'statistical', 'and', 'other', 'toolslanguages', 'R', 'RevR', 'SAS', 'Python', 'or', 'similar', 'Experience', 'with', 'ScikitLearn', 'NLTK', 'or', 'Stanford', 'CoreNLP', 'would', 'be', 'hugely', 'beneficial', 'Proven', 'leadership', 'and', 'stakeholder', 'management', 'capability', 'across', 'multidisciplinary', 'teams', 'Ability', 'to', 'work', 'in', 'a', 'global', 'collaborative', 'team', 'environment', 'An', 'excellent', 'academic', 'record', 'with', 'a', 'degree', 'in', 'a', 'related', 'scientific', 'discipline', 'A', 'passion', 'for', 'data', 'science', 'Strong', 'communication', 'skills']",year,200000.0
